Country,Patri2016,IFL2016,AOM2015,BPD2017C,Polygy2016,PSOW2014,HnrKlg2016,PRCom16,CsnMrg2016,SonPref2015,RapeXmp2016,SyndromeStatus,SyndromeImp
Panama,0,2,2,0,0,4,2,1,0,2,1,1,6
Papua New Guinea,2,3,4,2,3,4,2,3,1,4,1,1,14
Paraguay,0,2,3,0,0,2,2,1,0,2,0,0,5
Peru,1,2,2,0,0,4,2,2,0,2,1,1,7
Philippines,1,2,1,0,2,3,1,2,1,3,1,1,7
Poland,0,1,0,0,0,2,1,0,0,2,0,0,2
Portugal,0,1,1,0,0,1,0,1,0,2,0,0,2
Qatar,2,3,3,2,3,4,1,3,3,2,0,1,12
Romania,1,1,2,0,0,3,1,1,1,2,0,0,4
Russia,2,1,0,0,2,4,1,1,0,2,0,0,5
Rwanda,2,3,1,2,3,3,2,1,1,2,0,1,10
Saudi Arabia,2,4,4,2,3,4,2,3,3,2,0,1,14
Senegal,2,4,3,2,4,3,2,3,3,2,0,1,14
Serbia,2,1,1,0,0,3,1,1,0,2,0,0,5
Sierra Leone,2,3,3,2,4,3,2,3,1,2,1,1,13
Singapore,0,2,1,2,2,3,0,1,0,2,0,0,5
Slovakia,0,0,0,0,0,3,1,1,0,2,0,0,2
Slovenia,1,1,1,0,0,3,1,1,0,1,0,0,3
Solomon Islands,2,3,3,2,3,4,2,3,0,4,0,1,13
Somalia,2,3,3,2,3,4,2,4,3,2,1,1,14
South Africa,1,2,1,2,3,4,2,1,0,2,0,1,8
South Korea,1,2,1,0,0,3,1,1,0,3,0,1,6
South Sudan,2,4,3,2,4,4,2,4,3,4,1,1,16
Spain,0,1,2,0,0,1,1,1,0,2,0,0,2
Sri Lanka,1,3,1,3,2,3,2,3,3,1,0,1,9
Sudan,2,4,4,2,3,4,2,4,3,4,0,1,15
Suriname,1,2,2,0,2,3,2,1,2,2,0,1,6
Swaziland,2,3,0,2,3,4,1,4,1,2,0,1,10
Sweden,0,0,0,0,0,1,0,0,0,1,0,0,0
Switzerland,0,0,0,0,0,1,0,1,0,1,0,0,0
Syria,1,3,2,2,3,4,2,3,3,3,1,1,12.5
Taiwan,2,1,0,2,0,2,2,1,0,4,0,1,7
Tajikistan,2,2,1,2,3,4,2,1,3,2,1,1,11
Tanzania,2,3,3,2,3,4,2,3,3,2,0,1,13
Thailand,0,2,1,2,2,3,1,2,0,2,1,1,6
Togo,2,4,3,2,4,4,2,3,3,2,0,1,14
Trinidad/Tobago,0,2,3,0,0,2,2,1,1,2,0,0,5
Tunisia,1,1,1,2,0,3,2,3,3,2,1,1,9
Turkey,2,2,1,2,2,3,2,1,3,2,0,1,9
Turkmenistan,2,2,2,2,2,4,1,1,3,2,0,1,8
Uganda,1,4,4,2,4,3,2,3,0,2,0,1,12
Ukraine,1,1,0,0,0,3,1,1,0,1,1,0,4
United Arab Emirates,2,3,0,2,3,4,2,3,3,3,0,1,13
United Kingdom,0,1,2,0,0,2,1,1,2,1,0,0,1
United States,0,1,1,0,0,2,1,1,2,1,0,0,1
Uruguay,0,1,3,0,0,3,2,1,2,2,0,0,5
Uzbekistan,2,2,2,2,2,4,2,1,1,2,1,1,9
Vanuatu,1,2,3,2,2,4,2,3,3,3,0,1,11
Venezuela,0,2,2,0,0,4,2,1,0,2,1,1,6
Vietnam,2,2,1,2,2,3,2,2,1,4,0,1,9
Yemen,2,4,4,2,3,4,2,4,3,2,1,1,15
Zambia,1,3,3,2,3,3,2,3,1,2,0,1,11
Zimbabwe,2,3,4,2,3,4,2,3,0,2,0,1,12
